id,idCarritoCompras,producto
1742,1648,Bar Bran Honey Nut
1743,1483,Crackers Cheez It
1744,1199,Lettuce - Lolla Rosa
1745,1427,Fib N9 - Prague Powder
1746,1682,Pasta - Angel Hair
1747,1534,Pickerel - Fillets
1748,1655,Ice Cream Bar - Hagen Daz
1749,1373,Potatoes - Peeled
1750,1340,Sponge Cake Mix - Chocolate
1751,1212,Crab - Meat
1752,1596,Cabbage - Savoy
1753,1650,Ice Cream - Turtles Stick Bar
1754,1556,Sauce - Demi Glace
1755,1602,Filling - Mince Meat
1756,1229,Puree - Guava
1757,1107,Beef - Diced
1758,1342,Steampan - Half Size Shallow
1759,1678,Beef - Ground Medium
1760,1052,Chickensplit Half
1761,1559,Beef - Tenderloin
1762,1740,Asparagus - Frozen
1763,1495,Cheese - Marble
1764,1099,Chips Potato All Dressed - 43g
1765,1163,Mints - Striped Red
1766,1526,Remy Red Berry Infusion
1767,1145,"Soup - Campbells, Chix Gumbo"
1768,1713,Macaroons - Two Bite Choc
1769,1124,Cut Wakame - Hanawakaba
1770,1403,"Cheese - Havarti, Roasted Garlic"
1771,1504,Cocoa Powder - Dutched
1772,1324,"Cherries - Maraschino,jar"
1773,1880,Cookie - Oreo 100x2
1774,1045,Phyllo Dough
1775,1265,Table Cloth 91x91 Colour
1776,1263,"Tart Shells - Savory, 4"
1777,1140,Oil - Peanut
1778,1585,Cactus Pads
1779,1760,Sproutsmustard Cress
1780,1936,Sprouts - Onion
1781,1482,"Placemat - Scallop, White"
1782,1404,Bread Country Roll
1783,1229,Beef - Kobe Striploin
1784,1099,"Lemonade - Strawberry, 591 Ml"
1785,1055,Savory
1786,1216,Crackers - Water
1787,1630,Sobe - Green Tea
1788,1570,Olives - Nicoise
1789,1009,Cookie Dough - Chunky
1790,1208,Pastry - Plain Baked Croissant
1791,1206,Chocolate - Mi - Amere Semi
1792,1918,Potatoes - Pei 10 Oz
1793,1899,Soup - Campbellschix Stew
1794,1298,Eggplant - Regular
1795,1964,Pur Source
1796,1053,"Tart Shells - Sweet, 2"
1797,1776,"Veal - Brisket, Provimi,bnls"
1798,1548,"Brocolinni - Gaylan, Chinese"
1799,1499,Cassis
1800,1593,Bulgar
1801,1025,Ice Cream Bar - Oreo Sandwich
1802,1036,Apple - Royal Gala
1803,1176,"Veal - Inside Round / Top, Lean"
1804,1926,"Napkin - Cocktail,beige 2 - Ply"
1805,1269,Milk - Skim
1806,1696,"Coke - Diet, 355 Ml"
1807,1209,Juice - Prune
1808,1261,Rice - Aborio
1809,1643,"Tart Shells - Sweet, 4"
1810,1446,Sausage - Chorizo
1811,1619,Steamers White
1812,1337,"Bread - Pita, Mini"
1813,1451,"Wine - Red, Cabernet Sauvignon"
1814,1946,"Pasta - Canelloni, Single Serve"
1815,1231,Wine - Crozes Hermitage E.
1816,1616,Beef - Inside Round
1817,1281,Soup - Campbells Mac N Cheese
1818,1856,Bread - Hot Dog Buns
1819,1974,"Beans - Fava, Canned"
1820,1534,Mushrooms - Honey
1821,1429,Shopper Bag - S - 4
1822,1842,Daikon Radish
1823,1736,Sponge Cake Mix - Vanilla
1824,1433,Sage - Fresh
1825,1161,Beets - Mini Golden
1826,1297,Cookies - Assorted
1827,1479,Bread - Italian Corn Meal Poly
1828,1106,Wine - Black Tower Qr
1829,1420,Lettuce - Lambs Mash
1830,1920,Squeeze Bottle
1831,1502,The Pop Shoppe - Cream Soda
1832,1075,Yoplait Drink
1833,1761,Appetizer - Escargot Puff
1834,1612,Longos - Lasagna Beef
1835,1963,English Muffin
1836,1735,"Lamb - Shoulder, Boneless"
1837,1156,English Muffin
1838,1440,Bulgar
1839,1178,Muffin Hinge 117n
1840,1644,Cookies - Fortune
1841,1412,Tobasco Sauce
1842,1645,Garbage Bags - Clear
1843,1443,Bay Leaf Fresh
1844,1389,Sponge Cake Mix - Vanilla
1845,1061,"Pasta - Fett Alfredo, Single Serve"
1846,1538,Foil - 4oz Custard Cup
1847,1194,"Salmon - Atlantic, Skin On"
1848,1155,Versatainer Nc - 8288
1849,1349,Wine - Segura Viudas Aria Brut
1850,1315,Arctic Char - Fillets
1851,1372,Food Colouring - Red
1852,1001,Icecream - Dstk Strw Chseck
1853,1998,Juice - Lagoon Mango
1854,1751,"Tea - Darjeeling, Azzura"
1855,1733,Olive - Spread Tapenade
1856,1783,"Cod - Salted, Boneless"
1857,1857,Ham - Cooked
1858,1859,Tarragon - Fresh
1859,1101,Broccoli - Fresh
1860,1712,Rabbit - Legs
1861,1701,Bread Crumbs - Panko
1862,1203,Potatoes - Idaho 100 Count
1863,1992,Aspic - Amber
1864,1214,Foam Tray S2
1865,1117,Cardamon Ground
1866,1825,"Doilies - 12, Paper"
1867,1077,Corn Syrup
1868,1515,"Napkin - Beverge, White 2 - Ply"
1869,1434,Sole - Fillet
1870,1256,"Croissant, Raw - Mini"
1871,1737,Capon - Whole
1872,1322,Veal - Loin
1873,1190,"Cheese - Havarti, Roasted Garlic"
1874,1943,Tea - Mint
1875,1673,Towels - Paper / Kraft
1876,1552,Wine - Semi Dry Riesling Vineland
1877,1969,Squid Ink
1878,1195,"Star Anise, Whole"
1879,1088,Wine - Bouchard La Vignee Pinot
1880,1336,Mahi Mahi
1881,1990,Kellogs Raisan Bran Bars
1882,1983,Soup - Campbells Asian Noodle
1883,1887,Honey - Liquid
1884,1579,Sugar - Palm
1885,1652,"Halibut - Whole, Fresh"
1886,1149,Cheese - Grie Des Champ
1887,1127,Fondant - Icing
1888,1888,Cookies Almond Hazelnut
1889,1655,Curry Powder Madras
1890,1470,Bar Special K
1891,1478,Apple - Northern Spy
1892,1151,"Lettuce - Romaine, Heart"
1893,1829,Bread - Pumpernickel
1894,1246,Wine - Montecillo Rioja Crianza
1895,1807,Uniform Linen Charge
1896,1139,Beer - Pilsner Urquell
1897,1439,Lemon Grass
1898,1745,Pumpkin
1899,1173,Bagel - Sesame Seed Presliced
1900,1010,Pancetta
1901,1836,Molasses - Fancy
1902,1872,Plaintain
1903,1915,Flour - Rye
1904,1064,Fork - Plastic
1905,1695,Wine - Jafflin Bourgongone
1906,1311,Cheese - Brick With Onion
1907,1410,Dawn Professionl Pot And Pan
1908,1171,Beef Ground Medium
1909,1212,Soup - Campbells
1910,1938,Food Colouring - Blue
1911,1143,Truffle - Whole Black Peeled
1912,1374,Cheese - Pont Couvert
1913,1554,Lettuce - California Mix
1914,1184,Table Cloth 53x69 White
1915,1350,Bagelers
1916,1086,"Cup - 6oz, Foam"
1917,1879,Cake Slab
1918,1624,Chicken - Leg / Back Attach
1919,1205,Pie Box - Cello Window 2.5
1920,1966,Pastry - Chocolate Chip Muffin
1921,1837,"Cheese - Cheddar, Medium"
1922,1360,Ecolab Crystal Fusion
1923,1275,Chicken - Soup Base
1924,1295,Chicken - Livers
1925,1170,Cheese - Stilton
1926,1699,Syrup - Monin - Blue Curacao
1927,1192,Crackers - Water
1928,1306,"Wine - White, Concha Y Toro"
1929,1932,Bread Base - Goodhearth
1930,1371,Tilapia - Fillets
1931,1513,Wine - Magnotta - Pinot Gris Sr
1932,1413,Pie Filling - Apple
1933,1952,Peach - Halves
1934,1512,Melon - Watermelon Yellow
1935,1605,Mcgillicuddy Vanilla Schnap
1936,1207,"Iced Tea - Lemon, 460 Ml"
1937,1417,Spinach - Packaged
1938,1423,Spice - Peppercorn Melange
1939,1048,Blue Curacao - Marie Brizard
1940,1221,Peppercorns - Pink
1941,1430,"Tart Shells - Barquettes, Savory"
1942,1883,"Champagne - Brights, Dry"
1943,1426,Potato - Sweet
1944,1710,Lobster - Canned Premium
1945,1561,Sobe - Liz Blizz
1946,1015,Pepperoni Slices
1947,1305,Tomatoes - Yellow Hot House
1948,1734,Soup - Campbells Beef Noodle
1949,1813,"Red Snapper - Fresh, Whole"
1950,1626,Emulsifier
1951,1215,Shortbread - Cookie Crumbs
1952,1510,Lid - 16 Oz And 32 Oz
1953,1610,"Soup - Beef Conomme, Dry"
1954,1931,Bulgar
1955,1334,Tomatoes - Grape
1956,1159,Garbage Bag - Clear
1957,1309,"Pasta - Fusili, Dry"
1958,1224,Beef Dry Aged Tenderloin Aaa
1959,1766,Rosemary - Fresh
1960,1411,Oil - Cooking Spray
1961,1107,Hold Up Tool Storage Rack
1962,1056,"Bar Mix - Pina Colada, 355 Ml"
1963,1560,Muffin Mix - Carrot
1964,1633,Carbonated Water - Strawberry
1965,1650,Muffin Mix - Banana Nut
1966,1709,Cup - Translucent 7 Oz Clear
1967,1344,Pastry - Trippleberry Muffin - Mini
1968,1031,Wakami Seaweed
1969,1816,Beer - Sleemans Honey Brown
1970,1704,Raisin - Dark
1971,1080,Skirt - 24 Foot
1972,1798,"Wine - Red, Lurton Merlot De"
1973,1365,Wine - Chablis J Moreau Et Fils
1974,1750,Beef - Prime Rib Aaa
1975,1180,Flounder - Fresh
1976,1266,Ecolab Silver Fusion
1977,1345,Cheese - Montery Jack
1978,1314,"Stock - Veal, Brown"
1979,1396,Octopus
1980,1185,Wheat - Soft Kernal Of Wheat
1981,1824,Miso Paste White
1982,1276,"Pepper - Black, Crushed"
1983,1354,Tomatoes - Cherry
1984,1742,Whmis - Spray Bottle Trigger
1985,1325,Coffee - Ristretto Coffee Capsule
1986,1728,Paste - Black Olive
1987,1831,Mustard - Pommery
1988,1096,Ice Cream Bar - Hageen Daz To
1989,1135,"Soup - Campbells, Lentil"
1990,1784,Veal - Provimi Inside
1991,1939,Container - Clear 16 Oz
1992,1024,Chicken - Ground
1993,1772,"Corn - Cream, Canned"
1994,1993,Rice - Wild
1995,1577,Wine - Fontanafredda Barolo
1996,1356,"Napkin - Cocktail,beige 2 - Ply"
1997,1858,"Napkin - Beverge, White 2 - Ply"
1998,1050,Basil - Thai
1999,1684,Bread - Triangle White
2000,1682,Truffle Shells - White Chocolate
